HH_ID,CompanyID,"OrderNum","OrderDate","Channel",PA_Electronics_1month_ago,PA_Electronics_2month_ago,PA_Electronics_3month_ago,PA_Electronics_4month_ago,PA_Electronics_5month_ago,PA_Electronics_6month_ago,PA_Entertainment_1month_ago,PA_Entertainment_2month_ago,PA_Entertainment_3month_ago,PA_Entertainment_4month_ago,PA_Entertainment_5month_ago,PA_Entertainment_6month_ago,PA_Fashion_1month_ago,PA_Fashion_2month_ago,PA_Fashion_3month_ago,PA_Fashion_4month_ago,PA_Fashion_5month_ago,PA_Fashion_6month_ago,PA_Food_Entertaining_1month_ago,PA_Food_Entertaining_2month_ago,PA_Food_Entertaining_3month_ago,PA_Food_Entertaining_4month_ago,PA_Food_Entertaining_5month_ago,PA_Food_Entertaining_6month_ago,PA_Health_Beauty_1month_ago,PA_Health_Beauty_2month_ago,PA_Health_Beauty_3month_ago,PA_Health_Beauty_4month_ago,PA_Health_Beauty_5month_ago,PA_Health_Beauty_6month_ago,PA_Home_Garden_1month_ago,PA_Home_Garden_2month_ago,PA_Home_Garden_3month_ago,PA_Home_Garden_4month_ago,PA_Home_Garden_5month_ago,PA_Home_Garden_6month_ago,PA_Kids_Baby_1month_ago,PA_Kids_Baby_2month_ago,PA_Kids_Baby_3month_ago,PA_Kids_Baby_4month_ago,PA_Kids_Baby_5month_ago,PA_Kids_Baby_6month_ago,PA_Teens_1month_ago,PA_Teens_2month_ago,PA_Teens_3month_ago,PA_Teens_4month_ago,PA_Teens_5month_ago,PA_Teens_6month_ago,PA_Travel_Sports_1month_ago,PA_Travel_Sports_2month_ago,PA_Travel_Sports_3month_ago,PA_Travel_Sports_4month_ago,PA_Travel_Sports_5month_ago,PA_Travel_Sports_6month_ago,PA_Miscellaneous_1month_ago,PA_Miscellaneous_2month_ago,PA_Miscellaneous_3month_ago,PA_Miscellaneous_4month_ago,PA_Miscellaneous_5month_ago,PA_Miscellaneous_6month_ago,PA_Other_1month_ago,PA_Other_2month_ago,PA_Other_3month_ago,PA_Other_4month_ago,PA_Other_5month_ago,PA_Other_6month_ago,PA_Unclassified_1month_ago,PA_Unclassified_2month_ago,PA_Unclassified_3month_ago,PA_Unclassified_4month_ago,PA_Unclassified_5month_ago,PA_Unclassified_6month_ago,PA_Unclassified2_1month_ago,PA_Unclassified2_2month_ago,PA_Unclassified2_3month_ago,PA_Unclassified2_4month_ago,PA_Unclassified2_5month_ago,PA_Unclassified2_6month_ago,Is_PA_Electronics,Is_PA_Entertainment,Is_PA_Fashion,Is_PA_Food_Entertaining,Is_PA_Health_Beauty,Is_PA_Home_Garden,Is_PA_Kids_Baby,Is_PA_Teens,Is_PA_Travel_Sports,Is_PA_Miscellaneous,Is_PA_Other,Is_PA_Unclassified,Is_PA_Unclassified2
4345,804,"              517278","20050609","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4345,804,"              575325","20060417","O",0,0,0,0,0,0,0,0,0,1,0,0,55,48,1,0,4,1,0,0,0,0,2,0,0,0,0,0,2,0,0,9,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4345,804,"              669374","20070820","C",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4345,807,"              669566","20070821","I",0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4345,807,"              669577","20070821","I",0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4345,617,"              752683","20051227","I",0,0,0,0,0,0,0,0,0,0,0,0,4,1,27,43,0,0,1,1,0,0,0,0,2,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4345,617,"              755945","20060302","I",0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,17,53,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4345,617,"              768238","20060613","I",0,0,0,0,0,0,0,0,0,0,0,1,0,46,73,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4345,217,"              990023","20050112","I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4345,217,"              990851","20050114","C",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
